Linux 3.10.0-862.11.6.el7.x86_64 (rhel7-2.example.com) 	2018-09-30 	_x86_64_	(6 CPU)

12:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:30:01 AM       3      0.22      0.00      0.17      0.24      0.00      0.00      0.00      0.00      0.00     99.37
01:30:01 AM       4      0.31      0.00      0.28      0.10      0.00      0.00      0.00      0.00      0.00     99.30
01:30:01 AM       5      0.21      0.00      0.22      0.53      0.00      0.00      0.00      0.00      0.00     99.04
01:40:01 AM     all      0.24      0.00      0.18      0.21      0.00      0.00      0.00      0.00      0.00     99.37
01:40:01 AM       0      0.33      0.00      0.31      0.22      0.00      0.00      0.00      0.00      0.00     99.13
01:40:01 AM       1      0.27      0.00      0.23      0.15      0.00      0.00      0.00      0.00      0.00     99.35
01:40:01 AM       2      0.18      0.00      0.12      0.03      0.00      0.00      0.00      0.00      0.00     99.67
01:40:01 AM       3      0.20      0.00      0.15      0.30      0.00      0.00      0.00      0.00      0.00     99.36
01:40:01 AM       4      0.17      0.00      0.12      0.02      0.00      0.00      0.00      0.00      0.00     99.69
01:40:01 AM       5      0.27      0.00      0.15      0.54      0.00      0.00      0.00      0.00      0.00     99.04
01:50:01 AM     all      0.25      0.00      0.19      0.14      0.00      0.00      0.00      0.00      0.00     99.42
01:50:01 AM       0      0.28      0.00      0.32      0.08      0.00      0.00      0.00      0.00      0.00     99.31
01:50:01 AM       1      0.28      0.00      0.22      0.11      0.00      0.00      0.00      0.00      0.00     99.40
01:50:01 AM       2      0.25      0.00      0.15      0.05      0.00      0.00      0.00      0.00      0.00     99.56
01:50:01 AM       3      0.24      0.00      0.18      0.19      0.00      0.00      0.00      0.00      0.00     99.39
01:50:01 AM       4      0.18      0.00      0.12      0.13      0.00      0.00      0.00      0.00      0.00     99.56
01:50:01 AM       5      0.25      0.00      0.15      0.28      0.00      0.00      0.00      0.00      0.00     99.32

01:50:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
02:00:01 AM     all      0.25      0.00      0.20      0.20      0.00      0.00      0.00      0.00      0.00     99.35
02:00:01 AM       0      0.31      0.00      0.35      0.24      0.00      0.00      0.00      0.00      0.00     99.10
02:00:01 AM       1      0.33      0.00      0.23      0.10      0.00      0.00      0.00      0.00      0.00     99.34
02:00:01 AM       2      0.21      0.00      0.14      0.13      0.00      0.00      0.00      0.00      0.00     99.51
02:00:01 AM       3      0.23      0.00      0.17      0.18      0.00      0.00      0.00      0.00      0.00     99.42
02:00:01 AM       4      0.22      0.00      0.19      0.06      0.00      0.00      0.00      0.00      0.00     99.53
02:00:01 AM       5      0.19      0.00      0.13      0.51      0.00      0.00      0.00      0.00      0.00     99.17
02:10:01 AM     all      0.28      0.00      0.21      0.17      0.00      0.00      0.00      0.00      0.00     99.34
02:10:01 AM       0      0.32      0.00      0.33      0.23      0.00      0.00      0.00      0.00      0.00     99.12
02:10:01 AM       1      0.27      0.00      0.20      0.09      0.00      0.00      0.00      0.00      0.00     99.45
02:10:01 AM       2      0.27      0.00      0.16      0.04      0.00      0.00      0.00      0.00      0.00     99.53
02:10:01 AM       3      0.24      0.00      0.15      0.23      0.00      0.00      0.00      0.00      0.00     99.38
02:10:01 AM       4      0.38      0.00      0.22      0.01      0.00      0.00      0.00      0.00      0.00     99.39
02:10:01 AM       5      0.22      0.00      0.19      0.44      0.00      0.00      0.00      0.00      0.00     99.15
02:20:01 AM     all      0.24      0.00      0.18      0.13      0.00      0.00      0.00      0.00      0.00     99.45
02:20:01 AM       0      0.30      0.00      0.37      0.12      0.00      0.00      0.00      0.00      0.00     99.22
02:20:01 AM       1      0.26      0.00      0.20      0.06      0.00      0.00      0.00      0.00      0.00     99.48
02:20:01 AM       2      0.20      0.00      0.14      0.04      0.00      0.00      0.00      0.00      0.00     99.62
02:20:01 AM       3      0.25      0.00      0.13      0.19      0.00      0.00      0.00      0.00      0.00     99.42
02:20:01 AM       4      0.22      0.00      0.13      0.07      0.00      0.00      0.00      0.00      0.00     99.58
02:20:01 AM       5      0.20      0.00      0.11      0.28      0.00      0.00      0.00      0.00      0.00     99.41
02:30:01 AM     all      0.25      0.00      0.24      0.17      0.00      0.00      0.00      0.00      0.00     99.34
02:30:01 AM       0      0.30      0.00      0.38      0.13      0.00      0.00      0.00      0.00      0.00     99.19
02:30:01 AM       1      0.26      0.00      0.24      0.15      0.00      0.00      0.00      0.00      0.00     99.36
02:30:01 AM       2      0.26      0.00      0.17      0.18      0.00      0.00      0.00      0.00      0.00     99.39
02:30:01 AM       3      0.20      0.00      0.18      0.25      0.00      0.00      0.00      0.00      0.00     99.36
02:30:01 AM       4      0.25      0.00      0.28      0.07      0.00      0.00      0.01      0.00      0.00     99.40
02:30:01 AM       5      0.25      0.00      0.20      0.22      0.00      0.00      0.00      0.00      0.00     99.33
02:40:01 AM     all      0.24      0.00      0.18      0.18      0.00      0.00      0.00      0.00      0.00     99.40
02:40:01 AM       0      0.31      0.00      0.33      0.33      0.00      0.00      0.00      0.00      0.00     99.04
02:40:01 AM       1      0.26      0.00      0.18      0.10      0.00      0.00      0.00      0.00      0.00     99.46
02:40:01 AM       2      0.26      0.00      0.15      0.06      0.00      0.00      0.00      0.00      0.00     99.53
02:40:01 AM       3      0.15      0.00      0.12      0.19      0.00      0.00      0.00      0.00      0.00     99.54
02:40:01 AM       4      0.24      0.00      0.16      0.01      0.00      0.00      0.00      0.00      0.00     99.59
02:40:01 AM       5      0.23      0.00      0.14      0.41      0.00      0.00      0.00      0.00      0.00     99.22
02:50:01 AM     all      0.24      0.00      0.18      0.14      0.00      0.00      0.00      0.00      0.00     99.44
02:50:01 AM       0      0.27      0.00      0.31      0.20      0.00      0.00      0.00      0.00      0.00     99.22
02:50:01 AM       1      0.25      0.00      0.17      0.07      0.00      0.00      0.00      0.00      0.00     99.51
02:50:01 AM       2      0.21      0.00      0.12      0.05      0.00      0.00      0.00      0.00      0.00     99.62
02:50:01 AM       3      0.22      0.00      0.15      0.24      0.00      0.00      0.00      0.00      0.00     99.39
02:50:01 AM       4      0.18      0.00      0.13      0.02      0.00      0.00      0.00      0.00      0.00     99.68
02:50:01 AM       5      0.29      0.00      0.19      0.28      0.00      0.00      0.00      0.00      0.00     99.24
03:00:01 AM     all      0.23      0.00      0.20      0.17      0.00      0.00      0.00      0.00      0.00     99.40
03:00:01 AM       0      0.34      0.00      0.36      0.21      0.00      0.00      0.00      0.00      0.00     99.09
03:00:01 AM       1      0.20      0.00      0.24      0.17      0.00      0.00      0.00      0.00      0.00     99.39
03:00:01 AM       2      0.20      0.00      0.12      0.02      0.00      0.00      0.00      0.00      0.00     99.66
03:00:01 AM       3      0.22      0.00      0.14      0.20      0.00      0.00      0.00      0.00      0.00     99.43
03:00:01 AM       4      0.19      0.00      0.15      0.04      0.00      0.00      0.00      0.00      0.00     99.61
03:00:01 AM       5      0.25      0.00      0.19      0.36      0.00      0.00      0.00      0.00      0.00     99.20
03:10:01 AM     all      0.28      0.00      0.20      0.13      0.00      0.00      0.00      0.00      0.00     99.39
03:10:01 AM       0      0.37      0.00      0.40      0.07      0.00      0.00      0.00      0.00      0.00     99.16
